id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO2902,21,21.56,3506,3442,1996,0.559999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.64944444|-9.37833333
ctb0033-RO2911,21,20.58,3359,3300,1996,-0.420000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.67694444|-9.35361111
ctb0033-RO2923,21,21.15,3802,3752,1996,0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.27166667|-9.84944444
ctb0033-RO2948,21,20.81,3420,3342,1996,-0.190000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.61083333|-9.82333333
ctb0033-RO2952,21,21.09,3542,3504,1996,0.0899999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.68527778|-9.74055556
ctb0033-RO2953,21,20.81,,,1996,-0.190000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.735686|-9.764905
ctb0033-RO2954,21,22.36,4995,3912,1996,1.36,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.58722222|-9.71055556
ctb0033-RO2977,21,20.57,3678,3639,1996,-0.43,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.63833333|-9.82361111
ctb0033-RO2994,21,20.35,,,1996,-0.649999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.42805556|-9.86916667
ctb0033-RO3338,21,20.4,3411,3346,1996,-0.600000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.04916667|-9.54888889
ctb0033-RO3350,21,20.66,3819,3698,1996,-0.34,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.83555556|-9.43416667
ctb0033-RO3742,21,20.65,4007,3867,1996,-0.350000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.98027778|-8.63638889
ctb0033-RO2080,22,22.08,3654,3597,1996,0.0799999999999983,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.41388889|-9.24722222
ctb0033-RO2322,22,23.22,4392,4195,1996,1.22,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.01305556|-8.11611111
ctb0033-RO2340,22,22.53,3908,3812,1996,0.530000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.00166667|-8.35111111
ctb0033-RO2342,22,21.58,3495,3407,1996,-0.420000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.98444444|-8.20888889
ctb0033-RO2384,22,22.45,3711,3687,1996,0.449999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.84611111|-8.69694444
ctb0033-RO3315,22,22.36,3362,3272,1996,0.359999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.80361111|-9.57083333
ctb0033-RO3330,22,23.85,0,0,1996,1.85,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.08055556|-9.42055556
ctb0033-RO3339,22,21.89,4018,3984,1996,-0.109999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.04111111|-9.52361111
ctb0033-RO2330,23,23.49,3197,3140,1996,0.489999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.89166667|-8.29138889
ctb0033-RO2901,23,22.07,3278,3238,1996,-0.93,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.61388889|-9.30861111
ctb0033-RO2908,23,22.87,3335,3288,1996,-0.129999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.65222222|-9.46722222
ctb0033-RO2965,23,23.15,3467,3422,1996,0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.97416667|-9.57416667
ctb0033-RO3317,23,22.54,3405,3363,1996,-0.460000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.75083333|-9.61083333
ctb0033-RO3319,23,22.64,3832,3698,1996,-0.359999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.00277778|-9.57222222
