point_id,longitude,latitude,year,soc_stock_g_m2
ctb0060-PB_48,-35.1001528067046,-6.83997968424952,2016,6037
ctb0060-PB_49,-34.9199354920146,-6.84022632253877,2016,1191
ctb0060-PB_66_E,-35.6852392617893,-7.01981086316159,2016,10042
ctb0060-PB_67,-35.6397284834235,-7.02012350319893,2016,2673
ctb0060-PB_68,-35.4599333294292,-7.02023362741774,2016,2430
ctb0060-PB_69,-35.2802049016219,-7.02034661112894,2016,2359
ctb0060-PB_71,-34.9201739838392,-7.01984343925872,2016,3906
ctb0060-PB_88,-35.640214796461,-7.20023729984585,2016,2365
ctb0060-PB_88_P21,-35.5498539223176,-7.26772422589479,2016,3233
ctb0060-PB_89,-35.4599582627434,-7.19997699843557,2016,2992
ctb0060-PB_90,-35.279878602367,-7.1999789323164,2016,3766
ctb0060-PB_92,-34.9196654113608,-7.20028514942573,2016,1755
ctb0061-SC_62_C,-51.3897483043301,-26.7301613584982,2016,8352
ctb0061-SC_62_H,-51.3903785773411,-26.6849973522263,2016,4084
ctb0061-SC_62_I,-51.3451192685571,-26.6852951204886,2016,1745
ctb0061-SC_62_K,-51.3449832352702,-26.7302231103018,2016,7539
ctb0061-SC_63_B,-51.1199085854018,-26.7303752119822,2016,9212
ctb0061-SC_63_C,-51.030215899442,-26.7301066575493,2016,4015
ctb0061-SC_63_H,-51.0299326184117,-26.6850160504032,2016,5202
ctb0061-SC_63_J,-51.0749412528517,-26.7298011550601,2016,4393
ctb0061-SC_63_K,-50.9847964891664,-26.7303799289609,2016,7296
ctb0061-SC_63_L,-51.1202269186723,-26.7749054756021,2016,5038
ctb0061-SC_63_M,-51.0752422657573,-26.7746475788729,2016,3293
ctb0061-SC_64_B,-50.94037254267,-26.7302598650816,2016,7451
ctb0061-SC_64_L,-50.9401679628689,-26.7753140319422,2016,2169
ctb0061-SC_64_M,-50.8952740297257,-26.7751073861289,2016,7317
ctb0061-SC_64_N,-50.8498266135884,-26.7752290283462,2016,7894
ctb0061-SC_64_O,-50.8045003864655,-26.7750473376056,2016,6165
ctb0061-SC_90_A,-51.2101683668208,-26.8201072282061,2016,6621
ctb0061-SC_90_E,-51.1648434918579,-26.8196616618803,2016,3562
ctb0061-SC_90_G,-51.2547974968238,-26.8647713466091,2016,4887
ctb0061-SC_91,-51.1203547179032,-26.8197606575494,2016,5788
ctb0061-SC_91_A,-51.0303403904945,-26.8202148742416,2016,4692
ctb0061-SC_91_D,-51.0754835595048,-26.8200625654194,2016,6550
ctb0061-SC_91_E,-50.9848248543096,-26.8196033525611,2016,4401
ctb0061-SC_91_I,-50.9850704299551,-26.8653703495927,2016,8257
ctb0061-SC_92,-50.9396009972503,-26.8202052388046,2016,7348
ctb0061-SC_92_A,-50.8500190798668,-26.8201115742949,2016,5510
ctb0061-SC_92_D,-50.894749569778,-26.820215107481,2016,4029
ctb0061-SC_92_F,-50.9402519101829,-26.8646362109758,2016,4214
ctb0061-SC_92_G,-50.8949800470376,-26.864907778433,2016,4531
ctb0061-SC_92_H,-50.8496575591381,-26.865264110384,2016,5377
ctb0061-SC_PR_550_B,-51.3000167581064,-26.7302350464809,2016,5749
ctb0061-SC_PR_550_C,-51.2101229052346,-26.7298368858427,2016,2680
ctb0061-SC_PR_550_D,-51.2548594221994,-26.6399887785271,2016,6645
ctb0061-SC_PR_550_F,-51.3000491820739,-26.68506341868,2016,3230
