"point_id","year","soc_stock_g_m2","code_muni","name_muni","code_state","abbrev_state","name_state","code_region","name_region","geometry"
"ctb0033-RO2987",1996,8606,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.50166667, -9.69138889)
"ctb0033-RO2988",1996,3012,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.47694444, -9.60916667)
"ctb0033-RO2989",1996,2713,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.31194444, -9.73583333)
"ctb0033-RO2990",1996,3067,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.32166667, -9.66694444)
"ctb0033-RO2991",1996,2432,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.32055556, -9.59416667)
"ctb0033-RO2993",1996,2998,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.40388889, -9.74527778)
"ctb0033-RO2994",1996,2035,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.42805556, -9.86916667)
"ctb0033-RO2995",1996,2455,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.41972222, -9.84138889)
"ctb0033-RO2996",1996,3026,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.35361111, -9.83722222)
"ctb0033-RO2997",1996,1438,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.30944444, -9.80666667)
"ctb0033-RO2998",1996,1579,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.21833333, -9.80944444)
"ctb0033-RO2999",1996,3666,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.23555556, -9.64888889)
"ctb0033-RO3300",1996,3554,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.23888889, -9.69972222)
"ctb0033-RO3301",1996,4201,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.24416667, -9.74361111)
"ctb0033-RO3302",1996,1885,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.13111111, -9.76416667)
"ctb0033-RO3303",1996,3631,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.08527778, -9.70916667)
"ctb0033-RO3304",1996,1680,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.07638889, -9.76)
"ctb0033-RO3305",1996,5029,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.49888889, -9.295)
"ctb0033-RO3306",1996,898,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.5275, -9.52444444)
"ctb0033-RO3307",1996,1739,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.48055556, -9.51861111)
"ctb0033-RO3308",1996,6466,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.51833333, -9.45777778)
"ctb0033-RO3309",1996,9632,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.51694444, -9.42805556)
"ctb0033-RO3310",1996,2535,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.51611111, -9.37555556)
"ctb0033-RO3311",1996,1915,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.50888889, -9.33527778)
"ctb0033-RO3312",1996,2014,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.56944444, -9.38527778)
"ctb0033-RO3313",1996,4673,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.55416667, -9.34666667)
"ctb0033-RO3314",1996,10400,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.78638889, -9.48166667)
"ctb0033-RO3315",1996,2236,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.80361111, -9.57083333)
"ctb0033-RO3316",1996,865,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.76777778, -9.57527778)
"ctb0033-RO3317",1996,2254,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.75083333, -9.61083333)
"ctb0033-RO3318",1996,1606,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.83555556, -9.54833333)
"ctb0033-RO3319",1996,2264,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.00277778, -9.57222222)
"ctb0033-RO3320",1996,2359,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.94416667, -9.59694444)
"ctb0033-RO3321",1996,1565,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.90583333, -9.61972222)
"ctb0033-RO3322",1996,3275,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.86611111, -9.57277778)
"ctb0033-RO3323",1996,2571,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.78083333, -9.51472222)
"ctb0033-RO3325",1996,4035,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.03416667, -9.39)
"ctb0033-RO3326",1996,177,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.01666667, -9.4375)
"ctb0033-RO3327",1996,2359,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.01972222, -9.44583333)
"ctb0033-RO3328",1996,3455,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.01388889, -9.43972222)
"ctb0033-RO3329",1996,1763,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.05444444, -9.40805556)
"ctb0033-RO3330",1996,2385,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.08055556, -9.42055556)
"ctb0033-RO3331",1996,4381,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.07611111, -9.44638889)
"ctb0033-RO3332",1996,1192,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.07833333, -9.485)
"ctb0033-RO3333",1996,2261,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.04694444, -9.495)
"ctb0033-RO3334",1996,2489,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.12916667, -9.50722222)
"ctb0033-RO3335",1996,1807,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.12611111, -9.49833333)
"ctb0033-RO3336",1996,4688,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.11111111, -9.46944444)
"ctb0033-RO3337",1996,4472,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.02861111, -9.56416667)
"ctb0033-RO3338",1996,2040,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.04916667, -9.54888889)
"ctb0033-RO3339",1996,2189,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.04111111, -9.52361111)
"ctb0033-RO3340",1996,3809,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.87305556, -9.37638889)
"ctb0033-RO3341",1996,1880,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.87611111, -9.34722222)
"ctb0033-RO3342",1996,3422,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.87583333, -9.35333333)
"ctb0033-RO3343",1996,3048,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.87333333, -9.3675)
"ctb0033-RO3344",1996,4244,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.87666667, -9.37638889)
"ctb0033-RO3345",1996,4135,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.86861111, -9.37194444)
"ctb0033-RO3346",1996,4205,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.86388889, -9.36888889)
"ctb0033-RO3347",1996,2553,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.84861111, -9.365)
"ctb0033-RO3348",1996,1833,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.79888889, -9.36277778)
