system.index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,longitude,latitude
672,ctb0033-RO1033,3111,3081,1996,13,-63.7958326,-11.94555716
0000000000000000067f,ctb0033-RO1046,3722,3543,1996,13,-63.72027759,-12.16194395
0000000000000000077c,ctb0033-RO1537,4059,3891,1996,13,-61.13083302,-12.67361242
0000000000000000077e,ctb0033-RO1539,3497,3439,1996,13,-60.97416696,-12.42416585
784,ctb0033-RO1545,4138,4071,1996,13,-60.91639039,-12.35555366
0000000000000000079b,ctb0033-RO1568,3508,3431,1996,13,-60.4641662,-13.00138756
0000000000000000079d,ctb0033-RO1570,3517,3433,1996,13,-60.44861285,-12.97944433
000000000000000007b0,ctb0033-RO1588,4320,4169,1996,13,-60.35861036,-12.53083201
000000000000000007ee,ctb0033-RO1652,4009,3834,1996,13,-60.49694505,-12.48694553
000000000000000008aa,ctb0033-RO1842,3896,3691,1996,13,-60.30805753,-13.16055518
8.00E+03,ctb0033-RO2000,3328,3257,1996,13,-64.44777993,-9.523056869
912,ctb0033-RO2048,3218,3160,1996,13,-65.17749844,-10.84666521
933,ctb0033-RO2081,4072,3769,1996,13,-65.32722167,-10.7455551
963,ctb0033-RO2128,NA,NA,1996,13,-65.05777603,-11.80444445
966,ctb0033-RO2131,3385,3328,1996,13,-64.87889028,-11.75333423
0000000000000000098f,ctb0033-RO2172,5604,3636,1996,13,-65.17444395,-11.04472064
00000000000000000a55,ctb0033-RO2369,3459,3406,1996,13,-63.19083514,-8.939445264
00000000000000000a78,ctb0033-RO2404,3599,3440,1996,13,-62.05027736,-12.24194469
00000000000000000adb,ctb0033-RO2503,4215,4174,1996,13,-60.88833372,-12.95333183
00000000000000000aec,ctb0033-RO2520,3803,3654,1996,13,-61.10972363,-13.00249788
00000000000000000b11,ctb0033-RO2557,4531,4157,1996,13,-60.91361237,-12.35555366
00000000000000000b26,ctb0033-RO2578,3398,3374,1996,13,-60.83805736,-12.01499874
00000000000000000b41,ctb0033-RO2605,3496,3345,1996,13,-61.46666575,-12.17694437
00000000000000000b45,ctb0033-RO2610,3397,3341,1996,13,-61.32694428,-12.21416449
00000000000000000b5a,ctb0033-RO2631,4277,4033,1996,13,-62.38027759,-13.08527663
00000000000000000b68,ctb0033-RO2645,4759,4508,1996,13,-62.04944351,-13.25805342
00000000000000000b8a,ctb0033-RO2679,3299,3179,1996,13,-62.0099983,-9.704444182
00000000000000000ba7,ctb0033-RO2802,3494,3412,1996,13,-61.2961096,-11.76499924
00000000000000000bc5,ctb0033-RO2832,4156,4046,1996,13,-60.92194643,-11.68194402
00000000000000000c5e,ctb0033-RO3003,4787,4032,1996,13,-63.02833212,-12.43249991
00000000000000000c91,ctb0033-RO3054,3573,3464,1996,13,-61.44555637,-11.10777679
00000000000000000c9a,ctb0033-RO3063,3969,3889,1996,13,-61.36444532,-11.11999919
00000000000000000d13,ctb0033-RO3184,3611,3504,1996,13,-61.37472355,-11.68944423
00000000000000000dda,ctb0033-RO3389,3692,3647,1996,13,-61.70333254,-11.90666488
00000000000000000e2f,ctb0033-RO3474,3352,3117,1996,13,-62.83138701,-10.06889097
00000000000000000e5b,ctb0033-RO3518,3348,3303,1996,13,-61.89916734,-10.41055621
00000000000000000edc,ctb0033-RO3656,3603,3500,1996,13,-62.17749997,-11.01083148
00000000000000000f44,ctb0033-RO3770,3615,3562,1996,13,-61.89055682,-11.24527763
