point_id,year,soc_stock_g_m2,code_state,abbrev_state,name_state,code_region,name_region,latitude,longitude
ctb0033-RO1185,1996,1784,11,RO,Rondônia,1,Norte,c(-64.08305556, -10.30194444)
ctb0033-RO1200,1996,4155,11,RO,Rondônia,1,Norte,c(-64.41972222, -12.41972222)
ctb0033-RO1202,1996,9199,11,RO,Rondônia,1,Norte,c(-64.30361111, -12.30472222)
ctb0033-RO1203,1996,2653,11,RO,Rondônia,1,Norte,c(-63.61138889, -11.90777778)
ctb0033-RO1204,1996,2793,11,RO,Rondônia,1,Norte,c(-63.61277778, -11.90333333)
ctb0033-RO1205,1996,6183,11,RO,Rondônia,1,Norte,c(-63.60916667, -11.91416667)
ctb0033-RO1206,1996,4882,11,RO,Rondônia,1,Norte,c(-63.60583333, -11.92555556)
ctb0033-RO1207,1996,4713,11,RO,Rondônia,1,Norte,c(-64.17333333, -12.46)
ctb0033-RO1208,1996,4647,11,RO,Rondônia,1,Norte,c(-64.17944444, -12.45777778)
ctb0033-RO1209,1996,2139,11,RO,Rondônia,1,Norte,c(-64.11805556, -12.45666667)
ctb0033-RO1210,1996,5192,11,RO,Rondônia,1,Norte,c(-64.06388889, -12.42444444)
ctb0033-RO1211,1996,2637,11,RO,Rondônia,1,Norte,c(-63.49527778, -12.05472222)
ctb0033-RO1212,1996,1802,11,RO,Rondônia,1,Norte,c(-63.23666667, -11.7175)
ctb0033-RO1213,1996,1589,11,RO,Rondônia,1,Norte,c(-63.20055556, -11.74138889)
ctb0033-RO1214,1996,1433,11,RO,Rondônia,1,Norte,c(-63.18916667, -11.76277778)
ctb0033-RO1215,1996,927,11,RO,Rondônia,1,Norte,c(-63.15638889, -11.80638889)
ctb0033-RO1216,1996,3588,11,RO,Rondônia,1,Norte,c(-63.57833333, -10.55833333)
ctb0033-RO1217,1996,5324,11,RO,Rondônia,1,Norte,c(-63.57722222, -10.55388889)
ctb0033-RO1219,1996,5767,11,RO,Rondônia,1,Norte,c(-63.545, -10.52)
ctb0033-RO1220,1996,1956,11,RO,Rondônia,1,Norte,c(-63.49888889, -10.52638889)
ctb0033-RO1221,1996,5369,11,RO,Rondônia,1,Norte,c(-63.50166667, -10.53388889)
ctb0033-RO1222,1996,6316,11,RO,Rondônia,1,Norte,c(-63.20361111, -12.61583333)
ctb0033-RO1223,1996,2792,11,RO,Rondônia,1,Norte,c(-63.21861111, -12.58555556)
ctb0033-RO1224,1996,2573,11,RO,Rondônia,1,Norte,c(-63.21222222, -12.57527778)
ctb0033-RO1225,1996,4536,11,RO,Rondônia,1,Norte,c(-63.21472222, -12.57916667)
ctb0033-RO1226,1996,18837,11,RO,Rondônia,1,Norte,c(-63.2175, -12.59638889)
ctb0033-RO1227,1996,4269,11,RO,Rondônia,1,Norte,c(-63.02055556, -12.52416667)
ctb0033-RO1228,1996,2173,11,RO,Rondônia,1,Norte,c(-63.01861111, -12.52444444)
ctb0033-RO1229,1996,3193,11,RO,Rondônia,1,Norte,c(-63.01861111, -12.525)
ctb0033-RO1230,1996,2933,11,RO,Rondônia,1,Norte,c(-62.98666667, -12.52361111)
ctb0033-RO1231,1996,2111,11,RO,Rondônia,1,Norte,c(-63.00861111, -12.52472222)
ctb0033-RO1232,1996,13545,11,RO,Rondônia,1,Norte,c(-63.09805556, -12.57055556)
ctb0033-RO1233,1996,12644,11,RO,Rondônia,1,Norte,c(-63.07833333, -12.58)
ctb0033-RO1234,1996,18661,11,RO,Rondônia,1,Norte,c(-63.09222222, -12.57416667)
ctb0033-RO1235,1996,6997,11,RO,Rondônia,1,Norte,c(-63.09638889, -12.57194444)
ctb0033-RO1236,1996,12150,11,RO,Rondônia,1,Norte,c(-63.09833333, -12.58277778)
ctb0033-RO1237,1996,7632,11,RO,Rondônia,1,Norte,c(-63.10833333, -12.58222222)
ctb0033-RO1238,1996,9224,11,RO,Rondônia,1,Norte,c(-63.39027778, -12.64)
ctb0033-RO1239,1996,2573,11,RO,Rondônia,1,Norte,c(-63.44027778, -12.56)
ctb0033-RO1240,1996,5662,11,RO,Rondônia,1,Norte,c(-63.24166667, -12.29833333)
ctb0033-RO1241,1996,20570,11,RO,Rondônia,1,Norte,c(-63.24611111, -12.28666667)
ctb0033-RO1242,1996,12976,11,RO,Rondônia,1,Norte,c(-63.24944444, -12.28722222)
ctb0033-RO1243,1996,988,11,RO,Rondônia,1,Norte,c(-63.33333333, -12.31111111)
ctb0033-RO1244,1996,1575,11,RO,Rondônia,1,Norte,c(-63.33055556, -12.32916667)
ctb0033-RO1245,1996,45712,11,RO,Rondônia,1,Norte,c(-63.24472222, -12.25083333)
ctb0033-RO1246,1996,26553,11,RO,Rondônia,1,Norte,c(-63.24, -12.2525)
ctb0033-RO1247,1996,8889,11,RO,Rondônia,1,Norte,c(-63.19638889, -12.23138889)
ctb0033-RO1248,1996,4251,11,RO,Rondônia,1,Norte,c(-63.13666667, -12.20111111)
ctb0033-RO1249,1996,1346,11,RO,Rondônia,1,Norte,c(-63.12861111, -12.20055556)
ctb0033-RO1250,1996,2255,11,RO,Rondônia,1,Norte,c(-63.46694444, -12.35916667)
ctb0033-RO1251,1996,20137,11,RO,Rondônia,1,Norte,c(-63.46916667, -12.40444444)
ctb0033-RO1252,1996,45692,11,RO,Rondônia,1,Norte,c(-63.44888889, -12.4275)
ctb0033-RO1253,1996,14482,11,RO,Rondônia,1,Norte,c(-63.45388889, -12.42472222)
ctb0033-RO1254,1996,3838,11,RO,Rondônia,1,Norte,c(-63.6325, -12.44472222)
ctb0033-RO1255,1996,2981,11,RO,Rondônia,1,Norte,c(-63.6325, -12.45527778)
ctb0033-RO1256,1996,2322,11,RO,Rondônia,1,Norte,c(-63.71111111, -12.43694444)
ctb0033-RO1257,1996,2455,11,RO,Rondônia,1,Norte,c(-64.1, -11.80055556)
ctb0033-RO1258,1996,2332,11,RO,Rondônia,1,Norte,c(-64.10388889, -11.80166667)
ctb0033-RO1259,1996,5962,11,RO,Rondônia,1,Norte,c(-64.08388889, -11.79944444)
ctb0033-RO1260,1996,2667,11,RO,Rondônia,1,Norte,c(-64.08388889, -11.79833333)
ctb0033-RO1261,1996,2592,11,RO,Rondônia,1,Norte,c(-64.09222222, -11.79833333)
ctb0033-RO1262,1996,2994,11,RO,Rondônia,1,Norte,c(-63.86027778, -11.7075)
ctb0033-RO1263,1996,3853,11,RO,Rondônia,1,Norte,c(-63.85972222, -11.70777778)
ctb0033-RO1264,1996,3066,11,RO,Rondônia,1,Norte,c(-63.90055556, -11.73055556)
ctb0033-RO1265,1996,2613,11,RO,Rondônia,1,Norte,c(-63.89277778, -11.73027778)
ctb0033-RO1266,1996,2586,11,RO,Rondônia,1,Norte,c(-63.97666667, -11.75444444)
ctb0033-RO1267,1996,4874,11,RO,Rondônia,1,Norte,c(-63.97833333, -11.74861111)
ctb0033-RO1268,1996,4768,11,RO,Rondônia,1,Norte,c(-63.98111111, -11.75361111)
ctb0033-RO1269,1996,6315,11,RO,Rondônia,1,Norte,c(-64.03111111, -11.74194444)
ctb0033-RO1270,1996,4011,11,RO,Rondônia,1,Norte,c(-64.02638889, -11.74388889)
ctb0033-RO1271,1996,4309,11,RO,Rondônia,1,Norte,c(-64.05944444, -11.77)
ctb0033-RO1272,1996,7550,11,RO,Rondônia,1,Norte,c(-64.10555556, -11.84805556)
ctb0033-RO1273,1996,1726,11,RO,Rondônia,1,Norte,c(-64.11, -11.84666667)
ctb0033-RO1274,1996,2506,11,RO,Rondônia,1,Norte,c(-64.14333333, -11.9075)
ctb0033-RO1275,1996,2205,11,RO,Rondônia,1,Norte,c(-64.21611111, -11.91222222)
ctb0033-RO1276,1996,2730,11,RO,Rondônia,1,Norte,c(-64.34805556, -11.99555556)
ctb0033-RO1277,1996,3960,11,RO,Rondônia,1,Norte,c(-64.34194444, -11.99861111)
ctb0033-RO1278,1996,3700,11,RO,Rondônia,1,Norte,c(-64.32583333, -12.01444444)
ctb0033-RO1279,1996,6654,11,RO,Rondônia,1,Norte,c(-64.33027778, -12.01833333)
ctb0033-RO1280,1996,6468,11,RO,Rondônia,1,Norte,c(-64.33583333, -12.02555556)
ctb0033-RO1281,1996,13743,11,RO,Rondônia,1,Norte,c(-64.49138889, -12.20555556)
