"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"000000000000000009a5","ctb0033-RO2194",3882,3738,1996,7,-64.9102778876094,-10.8327795716035
"00000000000000000e46","ctb0033-RO3497",3060,3040,1996,7,-62.2438870670846,-10.9063904117938
"0000000000000000067e","ctb0033-RO1045",3385,3213,1996,8,-63.719167273314,-12.1852784303263
"00000000000000000690","ctb0033-RO1063",3252,3126,1996,8,-63.6444461169614,-12.0319433224014
"000000000000000006c2","ctb0033-RO1121",3263,3183,1996,8,-63.103610668391,-11.8177771579055
"00000000000000000762","ctb0033-RO1510",3697,3633,1996,8,-60.2174976434577,-12.8883315161199
"0000000000000000091c","ctb0033-RO2058",3470,3409,1996,8,-65.1194453998244,-10.3430543393077
"00000000000000000ae4","ctb0033-RO2512",4621,4399,1996,8,-61.0308332165051,-12.9291679635674
"00000000000000000b73","ctb0033-RO2656",4956,4566,1996,8,-61.3069050809261,-13.4857395797553
"00000000000000000bfc","ctb0033-RO2905",3464,3167,1996,8,-64.658610683254,-9.36138770149269
"00000000000000000d91","ctb0033-RO3316",3260,3216,1996,8,-64.7677783952444,-9.57527740172333
"00000000000000000e41","ctb0033-RO3492",3595,3527,1996,8,-62.3386117507629,-10.7408329078814
"00000000000000000696","ctb0033-RO1069",3432,3288,1996,9,-63.7880559254887,-12.4038903185725
"0000000000000000069e","ctb0033-RO1077",3754,3213,1996,9,-63.859165209988,-12.2194440625978
"000000000000000006c4","ctb0033-RO1123",3282,3208,1996,9,-62.9941664921353,-11.6808337054531
"000000000000000006c7","ctb0033-RO1127",3218,3160,1996,9,-62.8838884639825,-11.805554761918
"000000000000000006e5","ctb0033-RO1215",3762,3494,1996,9,-63.1563885884596,-11.806388613815
"00000000000000000700","ctb0033-RO1243",3586,3473,1996,9,-63.3333346364625,-12.3111098029535
"0000000000000000077b","ctb0033-RO1536",3302,3288,1996,9,-60.9077798638343,-12.6147210754805
"000000000000000007d1","ctb0033-RO1622",3744,3694,1996,9,-60.8169435162745,-12.8983332797828
"0000000000000000081a","ctb0033-RO1697",3753,3635,1996,9,-61.3605569848012,-12.5836099274306
"00000000000000000848","ctb0033-RO1744",3912,3886,1996,9,-60.5311106796476,-13.0741645525223
"00000000000000000911","ctb0033-RO2047",3434,3400,1996,9,-65.2025006160459,-10.8452784318563
"00000000000000000aee","ctb0033-RO2522",3777,3736,1996,9,-61.0333347721961,-12.8555571233771
"00000000000000000ba2","ctb0033-RO2791",3153,3086,1996,9,-62.896944711867,-10.9650008360403
"00000000000000000d37","ctb0033-RO3226",3527,3377,1996,9,-61.8494439060989,-9.44083550496193
"00000000000000000d87","ctb0033-RO3306",3245,3189,1996,9,-64.5274952758784,-9.52444364971404
"00000000000000000ddf","ctb0033-RO3394",3505,3445,1996,9,-61.7936115018087,-11.8597239215152
"00000000000000000ef7","ctb0033-RO3683",3195,3113,1996,9,-61.6552768098276,-11.4419462847168
"000000000000000006a3","ctb0033-RO1084",3551,3250,1996,10,-63.5663895530208,-12.0536100944201
"000000000000000006b6","ctb0033-RO1104",3124,3080,1996,10,-63.0838880644316,-11.8888909015058
"000000000000000006bb","ctb0033-RO1110",3829,3523,1996,10,-63.4172237045809,-11.8766685055183
"000000000000000006cd","ctb0033-RO1148",3217,3105,1996,10,-63.621388105414,-10.0424975510023
"00000000000000000774","ctb0033-RO1529",3368,3307,1996,10,-60.9858319686738,-12.7191665994553
"00000000000000000783","ctb0033-RO1544",3353,3336,1996,10,-60.7541682916441,-12.3572213669471
"00000000000000000795","ctb0033-RO1562",3837,3794,1996,10,-60.3525013869518,-12.7861110835707
"00000000000000000799","ctb0033-RO1566",3765,3749,1996,10,-60.4352756798069,-12.7741651518485
"000000000000000007c0","ctb0033-RO1604",3408,3354,1996,10,-60.4902786913012,-12.3702776148316
"000000000000000008e8","ctb0033-RO2006",3215,3123,1996,10,-65.2580565560708,-10.7452786316317
"00000000000000000904","ctb0033-RO2034",3387,3344,1996,10,-65.2852793680021,-10.3066680747116
"0000000000000000092f","ctb0033-RO2077",3322,3248,1996,10,-65.2230570719023,-10.2216686904308
"000000000000000009db","ctb0033-RO2248",3532,3400,1996,10,-61.673331709993,-12.2205543787601
"00000000000000000a5f","ctb0033-RO2379",4213,4126,1996,10,-63.903056141657,-8.67166732784884
"00000000000000000b06","ctb0033-RO2546",3339,3223,1996,10,-61.4094465687511,-12.7836095278797
"00000000000000000b0f","ctb0033-RO2555",3284,3288,1996,10,-60.8849983165522,-12.5194434632715
"00000000000000000b40","ctb0033-RO2604",3372,3337,1996,10,-61.0322199969328,-12.3555536631532
"00000000000000000dcb","ctb0033-RO3374",3317,3191,1996,10,-61.7022222257183,-11.6400017171067
"00000000000000000e58","ctb0033-RO3515",NA,NA,1996,10,-61.8047235816338,-10.584443315735
"00000000000000000e7e","ctb0033-RO3553",3178,3131,1996,10,-62.3652771750625,-10.2050005706931
"00000000000000000ea7","ctb0033-RO3603",3224,3127,1996,10,-62.8663909514488,-11.0083343800777
"00000000000000000f06","ctb0033-RO3708",3207,3144,1996,10,-63.858331358091,-8.89305723605137
"00000000000000000f89","ctb0033-RO3872",3182,3103,1996,10,-62.3855571666536,-11.5127791049508
"0000000000000000067c","ctb0033-RO1043",3415,3384,1996,11,-63.4452759093082,-12.2066687380796
"00000000000000000694","ctb0033-RO1067",3499,3405,1996,11,-64.0133341698098,-12.3961091872342
"000000000000000006a8","ctb0033-RO1089",3885,3263,1996,11,-64.3227779465147,-12.1380565501703
"000000000000000006d1","ctb0033-RO1154",3225,3189,1996,11,-63.6208351768834,-9.71361209370438
"00000000000000000763","ctb0033-RO1511",3534,3422,1996,11,-60.4036116032264,-12.9927770400948
"00000000000000000797","ctb0033-RO1564",3735,3733,1996,11,-60.4169443153762,-12.7738886875832
"000000000000000007d6","ctb0033-RO1628",3508,3368,1996,11,-60.807222675978,-12.9688896357515
"000000000000000007f0","ctb0033-RO1654",3751,3624,1996,11,-60.3894450391796,-12.5086123068127
"00000000000000000800","ctb0033-RO1670",3745,3691,1996,11,-60.1530547150333,-12.4597227228627
"000000000000000008cb","ctb0033-RO1876",4478,4367,1996,11,-60.7622214281466,-13.4911127965247
"000000000000000008eb","ctb0033-RO2009",3706,3629,1996,11,-65.0052790355531,-10.6658352872635
"000000000000000008f3","ctb0033-RO2017",3452,3385,1996,11,-65.1033346677183,-10.6238885236538
"00000000000000000901","ctb0033-RO2031",3780,3553,1996,11,-65.2847219803704,-10.6322225835227
"00000000000000000918","ctb0033-RO2054",3390,3342,1996,11,-65.2963869887262,-10.3994441312296
"00000000000000000928","ctb0033-RO2070",3176,3140,1996,11,-65.2591668722331,-10.4161122509674
"00000000000000000971","ctb0033-RO2142",3933,3824,1996,11,-65.0402785197216,-11.1849995047141
"000000000000000009a2","ctb0033-RO2191",3401,3376,1996,11,-64.7344466148699,-10.7536126915006
"00000000000000000ae6","ctb0033-RO2514",4529,4286,1996,11,-61.0252771765926,-12.8749988039701
"00000000000000000aea","ctb0033-RO2518",3749,3701,1996,11,-61.0547206208485,-12.8725017073802
"00000000000000000af6","ctb0033-RO2530",4505,4414,1996,11,-61.131943332892,-12.7125002433804
"00000000000000000b6c","ctb0033-RO2649",8533,7887,1996,11,-61.5502783573221,-13.4333317650742
"00000000000000000bc4","ctb0033-RO2831",3400,3305,1996,11,-60.9133314446458,-11.6450003693876
"00000000000000000bcc","ctb0033-RO2839",3435,3352,1996,11,-60.8083329921403,-11.7952765339898
"00000000000000000e38","ctb0033-RO3483",3331,3335,1996,11,-62.5219432314743,-10.0230558704093
"00000000000000000e4e","ctb0033-RO3505",3341,3304,1996,11,-61.9738884982984,-10.8819456198188
"00000000000000000e5a","ctb0033-RO3517",3210,3175,1996,11,-61.9152780740519,-10.4780536237008
"00000000000000000e8f","ctb0033-RO3570",3254,3208,1996,11,-61.8272242055495,-9.13527560527456
"00000000000000000eba","ctb0033-RO3622",3218,3143,1996,11,-62.5027780151466,-11.0711096047081
"00000000000000000edd","ctb0033-RO3657",3232,3128,1996,11,-62.102502349983,-11.0341659524803
"00000000000000000ef6","ctb0033-RO3682",3228,3160,1996,11,-61.631112941219,-11.4624982814722
"00000000000000000f4e","ctb0033-RO3780",3923,3760,1996,11,-61.6519458613407,-10.9375015598437
"00000000000000000666","ctb0033-RO1021",4118,3943,1996,12,-64.2302783542621,-12.1844445784293
"00000000000000000691","ctb0033-RO1064",3253,3153,1996,12,-63.4027762171678,-11.9880568498334
"0000000000000000069c","ctb0033-RO1075",4117,3878,1996,12,-63.9466661499597,-12.0563881143764
"000000000000000006bd","ctb0033-RO1116",4117,3980,1996,12,-62.7430566754115,-12.1391668663326
"000000000000000006ce","ctb0033-RO1149",3120,3079,1996,12,-63.5563877893579,-10.0452755709586
"0000000000000000072d","ctb0033-RO1288",3564,3357,1996,12,-63.4891668409772,-12.063611858083
"00000000000000000777","ctb0033-RO1532",3838,3799,1996,12,-60.9455573679591,-12.71889013519
"000000000000000007f5","ctb0033-RO1659",3697,3550,1996,12,-60.3597206715573,-12.5283349107721
"00000000000000000832","ctb0033-RO1722",4460,4399,1996,12,-60.3774991074574,-13.3741684122971
"00000000000000000897","ctb0033-RO1823",3790,3637,1996,12,-60.8977781001714,-12.9913902596672
"000000000000000008d9","ctb0033-RO1890",5868,4557,1996,12,-61.2497215690167,-13.0986093444973
"00000000000000000920","ctb0033-RO2062",3145,3111,1996,12,-65.216943644358,-10.1455562945496
"00000000000000000954","ctb0033-RO2113",3224,3192,1996,12,-64.6508340110167,-10.3338908866429
"0000000000000000095a","ctb0033-RO2119",3779,3634,1996,12,-65.0772221719493,-11.6144466089694
"000000000000000009a1","ctb0033-RO2190",3943,3534,1996,12,-64.7380540276222,-10.7516685234413
"00000000000000000a10","ctb0033-RO2300",4036,3942,1996,12,-61.5302792890974,-12.3013889626569
"00000000000000000ae3","ctb0033-RO2511",4868,4816,1996,12,-61.0100002963835,-12.928887040201
"00000000000000000aeb","ctb0033-RO2519",4067,4046,1996,12,-61.0499984328329,-12.8802783796174
"00000000000000000b20","ctb0033-RO2572",3635,3498,1996,12,-61.254167292767,-12.1313901940954
"00000000000000000b4a","ctb0033-RO2615",3444,3367,1996,12,-61.2927786487888,-12.0866654105293
"00000000000000000d2a","ctb0033-RO3213",3290,3208,1996,12,-62.171667466423,-9.95166566254364
"00000000000000000da1","ctb0033-RO3332",0,0,1996,12,-65.0783324881117,-9.48499844179526
"00000000000000000dca","ctb0033-RO3373",3282,3207,1996,12,-61.698610353865,-11.5147232730101
"00000000000000000e78","ctb0033-RO3547",3193,3160,1996,12,-61.981112242005,-10.1105568103811
"00000000000000000e8c","ctb0033-RO3567",3169,3142,1996,12,-62.2897221668129,-10.2291688984027
"00000000000000000ed1","ctb0033-RO3645",3721,3670,1996,12,-62.3786098872123,-11.4130557689916
"00000000000000000f4f","ctb0033-RO3781",3343,3328,1996,12,-61.7869451457338,-10.8674981324056
"00000000000000000f54","ctb0033-RO3786",3698,3654,1996,12,-61.5644449213689,-10.8711100042589
"00000000000000000f82","ctb0033-RO3865",4375,4193,1996,12,-62.3847233147566,-11.7805570414124
"00000000000000000fa4","ctb0033-RO3899",3259,3211,1996,12,-64.3186131461308,-9.19166539719643
"00000000000000000651","ctb0033-RO0663F",3752,3685,1996,13,-62.7922717737384,-11.0341481160761
"0000000000000000066d","ctb0033-RO1028",3180,3131,1996,13,-63.5438889291051,-11.874724337459
"00000000000000000672","ctb0033-RO1033",3125,3086,1996,13,-63.7958325977259,-11.945557157693
"0000000000000000067f","ctb0033-RO1046",3784,3514,1996,13,-63.7202775894763,-12.1619439545136
"0000000000000000077c","ctb0033-RO1537",4095,4014,1996,13,-61.1308330167297,-12.6736124230933
"0000000000000000077e","ctb0033-RO1539",3497,3440,1996,13,-60.974166960318,-12.4241658510625
"00000000000000000784","ctb0033-RO1545",4211,4126,1996,13,-60.9163903879685,-12.3555536631532
"0000000000000000079b","ctb0033-RO1568",3505,3447,1996,13,-60.4641661955322,-13.001387564229
"0000000000000000079d","ctb0033-RO1570",3480,3431,1996,13,-60.4486128510578,-12.979444327945
"000000000000000007b0","ctb0033-RO1588",3632,3564,1996,13,-60.358610355395,-12.530832007362
"000000000000000007ee","ctb0033-RO1652",3668,3533,1996,13,-60.4969450473761,-12.486945534794
"000000000000000008aa","ctb0033-RO1842",3891,3597,1996,13,-60.3080575267521,-13.1605551763317
"000000000000000008e3","ctb0033-RO2000",3314,3272,1996,13,-64.447779926346,-9.52305686928642
"00000000000000000912","ctb0033-RO2048",3207,3143,1996,13,-65.1774984364392,-10.8466652122839
"00000000000000000933","ctb0033-RO2081",4055,3773,1996,13,-65.3272216725108,-10.745555095897
"00000000000000000963","ctb0033-RO2128",NA,NA,1996,13,-65.0577760322553,-11.8044444457557
"00000000000000000966","ctb0033-RO2131",3417,3399,1996,13,-64.8788902752942,-11.7533342294811
"0000000000000000098f","ctb0033-RO2172",4832,3519,1996,13,-65.1744439522176,-11.0447206446738
"00000000000000000a55","ctb0033-RO2369",3493,3446,1996,13,-63.1908351440975,-8.93944526431037
