"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year","soc_stock_g_m2","latitude","longitude"
"ctb0033-RO2627",14,14.28,3755,3598,1996,1428,-13.04611111,-62.55944444
"ctb0033-RO2869",14,13.77,3409,3290,1996,1377,-11.78472222,-60.67777778
"ctb0033-RO2922",14,13.57,3744,3721,1996,1357,-9.81027778,-65.29222222
"ctb0033-RO3010",14,14.4,5564,3516,1996,1440,-12.35555556,-62.895
"ctb0033-RO3030",14,14.6,3528,3408,1996,1460,-12.09111111,-62.61555556
"ctb0033-RO3158",14,14.66,4168,4064,1996,1466,-11.20055556,-60.95083333
"ctb0033-RO3191",14,14.28,5146,5074,1996,1428,-11.45666667,-60.27166667
"ctb0033-RO3231",14,14.53,3785,3694,1996,1453,-9.08277778,-62.07527778
"ctb0033-RO3377",14,14.48,3153,3081,1996,1448,-11.68972222,-61.53722222
"ctb0033-RO3500",14,14.28,3298,3187,1996,1428,-10.76305556,-62.18972222
"ctb0033-RO3528",14,14.08,3382,3335,1996,1408,-10.48805556,-62.05361111
"ctb0033-RO3605",14,14.21,4907,4100,1996,1421,-10.96111111,-62.82333333
"ctb0033-RO3612",14,14.45,3615,3536,1996,1445,-11.05361111,-62.93777778
"ctb0033-RO3613",14,13.5,3222,3189,1996,1350,-11.10583333,-62.88277778
